id,title,keywords,n_keywords,keywords_clean
8475b9a1-84c3-42d5-976d-15c06d466099,#2418 - Chris Williamson,"['conviction', 'climate change', 'social media', 'screen time', 'IOC', 'Caliph', 'Gold Medal', 'Anthony Joshua', 'Jake Paul', 'boxing', 'hypnosis', 'suggestion', 'brain chemistry', 'dopamine', 'Phil Mickelson', 'golf', 'success', 'emptiness', 'Dave Chappelle', ""Chappelle's Show"", 'stand-up comedy', 'Netflix specials', 'comedy', 'creativity', 'competition', 'passion', 'entertainment', 'AI-generated content', 'music industry', 'podcasting', 'technology enabled nepotism', 'mental health']",32,"['conviction', 'climate change', 'social media', 'screen time', 'ioc', 'caliph', 'gold medal', 'anthony joshua', 'jake paul', 'boxing', 'hypnosis', 'suggestion', 'brain chemistry', 'dopamine', 'phil mickelson', 'golf', 'success', 'emptiness', 'dave chappelle', ""chappelle's show"", 'stand-up comedy', 'netflix specials', 'comedy', 'creativity', 'competition', 'passion', 'entertainment', 'ai-generated content', 'music industry', 'podcasting', 'technology enabled nepotism', 'mental health']"
18279a74-6f0a-4470-8d2f-fcf775377cf2,#2419 - John Lisle,"['conspiracy theories', 'MK Ultra', 'LSD', 'CIA', 'mind control', 'psychological trauma', 'independent journalism', 'cognitive dissonance', 'cults', 'mind control techniques', 'technology', 'anxiety', 'research', 'discovery']",14,"['conspiracy theories', 'mk ultra', 'lsd', 'cia', 'mind control', 'psychological trauma', 'independent journalism', 'cognitive dissonance', 'cults', 'mind control techniques', 'technology', 'anxiety', 'research', 'discovery']"
ddbdb4db-c85d-4620-99d2-55ff143b1e12,#2420 - Chris Masterjohn,"['creatine', 'energy metabolism', 'vision', 'mitochondria', 'methylene blue', 'antidepressants', 'nutrition', 'sunlight', 'exercise', 'immune function', 'physical activity', 'disease prevention', 'injury prevention', 'CoQ10', 'supplements', 'heart disease', 'blood pressure', 'glucose insulin', 'seed oils', 'randomized control trials', 'health effects', 'long-term studies', 'grants cycle', 'cooking oils', 'cholesterol', 'thyroid hormone', 'iodine deficiency', 'goiter', 'glutathion', 'semen', 'antioxidants', 'Natokinase', 'atherosclerosis', 'food first', 'heart disease prevention', 'online presence', 'social media', 'newsletter', 'mitochondrial testing']",39,"['creatine', 'energy metabolism', 'vision', 'mitochondria', 'methylene blue', 'antidepressants', 'nutrition', 'sunlight', 'exercise', 'immune function', 'physical activity', 'disease prevention', 'injury prevention', 'coq10', 'supplements', 'heart disease', 'blood pressure', 'glucose insulin', 'seed oils', 'randomized control trials', 'health effects', 'long-term studies', 'grants cycle', 'cooking oils', 'cholesterol', 'thyroid hormone', 'iodine deficiency', 'goiter', 'glutathion', 'semen', 'antioxidants', 'natokinase', 'atherosclerosis', 'food first', 'heart disease prevention', 'online presence', 'social media', 'newsletter', 'mitochondrial testing']"
b5faa887-273a-4a78-bc44-daf39114a779,"#484 – Dan Houser: GTA, Red Dead Redemption, Rockstar, Absurd & Future of Gaming","['game design', 'open world games', 'narrative-driven storytelling', 'character development', 'freedom and structure', 'AI', 'utopia', 'humanity', 'flaws', 'good and evil', 'morality', 'video game development', 'Rockstar Games', 'American culture', 'satire', 'politics', 'Red Dead Redemption', 'Grand Theft Auto IV', 'True Romance', 'Apocalypse Now', 'Platoon', 'Tony Scott', 'GTA-4', 'writing dialogue', 'motion capture', 'Dan Houser', 'life advice', 'creativity', 'career choices', 'random education', 'STEM subjects', 'love as a creative force', 'existentialism']",33,"['game design', 'open world games', 'narrative-driven storytelling', 'character development', 'freedom and structure', 'utopia', 'humanity', 'flaws', 'good and evil', 'morality', 'video game development', 'rockstar games', 'american culture', 'satire', 'politics', 'red dead redemption', 'grand theft auto iv', 'true romance', 'apocalypse now', 'platoon', 'tony scott', 'gta-4', 'writing dialogue', 'motion capture', 'dan houser', 'life advice', 'creativity', 'career choices', 'random education', 'stem subjects', 'love as a creative force', 'existentialism']"
92fdaf1d-e439-4497-9881-6d091e59ebb7,"#485 – David Kirtley: Nuclear Fusion, Plasma Physics, and the Future of Energy","['fusion', 'nuclear power', 'energy production', 'strong nuclear force', 'emagnetic repulsion', 'magnetoinertial fusion', 'fission', 'plasma', 'magnetic field', 'electrical current', 'Fermi Paradox', 'Advanced Civilizations', 'Human Intellect', 'AI']",14,"['fusion', 'nuclear power', 'energy production', 'strong nuclear force', 'emagnetic repulsion', 'magnetoinertial fusion', 'fission', 'plasma', 'magnetic field', 'electrical current', 'fermi paradox', 'advanced civilizations', 'human intellect']"
0d420e57-c9f8-4136-a00d-6ce03c13e53f,#486 – Michael Levin: Hidden Reality of Alien Intelligence & Biological Life,"['AI', 'intelligence', 'consciousness', 'agency', 'philosophy of mind', 'cognitive science', 'life', 'biology', 'psychiatry', 'mathematics']",10,"['intelligence', 'consciousness', 'agency', 'philosophy of mind', 'cognitive science', 'life', 'biology', 'psychiatry', 'mathematics']"
359e23c9-e084-4331-88bf-bba0e3fa8a26,#625 - Matthew McConaughey,"['dopamine', 'sharing', 'self definition', 'voyeurism', 'coach', 'team performance', 'player motivation', 'coaching effectiveness', 'humility', 'opportunities', 'learning', 'marriage', 'fatherhood', 'balance', 'non-negotiables', 'teaching kids', 'responsibility', 'context', 'emotional intelligence', 'SEC', 'college football', 'stadiums', 'fan experience', 'film', 'town', 'Huntington', 'West Virginia', 'crash', 'story', 'writing', 'self-care', 'identity', 'transformation', 'sacrifice', 'gratitude', 'prayer practice', 'creativity', 'emotions', 'thoughts']",39,"['dopamine', 'sharing', 'self definition', 'voyeurism', 'coach', 'team performance', 'player motivation', 'coaching effectiveness', 'humility', 'opportunities', 'learning', 'marriage', 'fatherhood', 'balance', 'non-negotiables', 'teaching kids', 'responsibility', 'context', 'emotional intelligence', 'sec', 'college football', 'stadiums', 'fan experience', 'film', 'town', 'huntington', 'west virginia', 'crash', 'story', 'writing', 'self-care', 'identity', 'transformation', 'sacrifice', 'gratitude', 'prayer practice', 'creativity', 'emotions', 'thoughts']"
45c59bfa-d922-4c9b-8b5d-8c002287d990,#626 - Baby Me,"['human connection', 'life experiences', 'fear excitement', 'touching strangers', 'inspiration', 'American-made', 'companies', 'self-pity', 'holidays', 'twins', 'comedy', 'touring', 'self-care', 'healthcare', 'reflection', 'appreciation', 'parenting', 'relationships', 'therapy', 'podcasting', 'personal growth', 'gratitude', 'new beginnings']",23,"['human connection', 'life experiences', 'fear excitement', 'touching strangers', 'inspiration', 'american-made', 'companies', 'self-pity', 'holidays', 'twins', 'comedy', 'touring', 'self-care', 'healthcare', 'reflection', 'appreciation', 'parenting', 'relationships', 'therapy', 'podcasting', 'personal growth', 'gratitude', 'new beginnings']"
eac594ef-1cd1-4670-b27b-578b02ae4875,"'The Interview': Simon Cowell Is Sorry, Softer and Grieving Liam Payne","['Simon Fuller', 'music industry', 'career path', 'success', 'gatekeepers', 'gimmicky acts', 'popularity', 'credit cards', 'Simon Cowell', 'American Idol', 'X-Factor', 'Britney Spears', 'Ryan Seacrest', 'artist management', 'fame', 'AI-generated music', 'K-pop', 'One Direction', 'Fifth Harmony', 'fatherhood', 'depression', 'motherhood', 'internet', 'reality TV', 'social media', 'cryogenics', 'mortality', 'The Next Act']",28,"['simon fuller', 'music industry', 'career path', 'success', 'gatekeepers', 'gimmicky acts', 'popularity', 'credit cards', 'simon cowell', 'american idol', 'x-factor', 'britney spears', 'ryan seacrest', 'artist management', 'fame', 'ai-generated music', 'k-pop', 'one direction', 'fifth harmony', 'fatherhood', 'depression', 'motherhood', 'internet', 'reality tv', 'social media', 'cryogenics', 'mortality', 'the next act']"
f2483fa1-6c7d-481e-96a8-8f79dc25b722,873: Got You Pegged,"['police', 'traffic stop', 'racism', 'storytelling', 'Rent', 'artistic integrity', 'superficial traits', 'Holocaust', 'survivor', 'emotional aftermath', 'family', 'friendship', 'grief', 'reconciliation']",14,"['police', 'traffic stop', 'racism', 'storytelling', 'rent', 'artistic integrity', 'superficial traits', 'holocaust', 'survivor', 'emotional aftermath', 'family', 'friendship', 'grief', 'reconciliation']"
